"year","season","mean.tmax","mean.precip"
1991,"Winter",8.07847222222222,2.275
1992,"Fall",14.0311355311355,4.16941391941392
1992,"Spring",17.398097826087,3.71105072463768
1992,"Summer",26.3198218599034,3.54725241545894
1992,"Winter",7.96404320987654,2.82916666666667
1993,"Fall",14.912851037851,3.61080586080586
1993,"Spring",18.9178743961353,3.6550422705314
1993,"Summer",29.0193236714976,2.38481280193237
1993,"Winter",5.16952160493827,3.60617283950617
1994,"Fall",16.9229242979243,2.55525030525031
1994,"Spring",19.6350392512077,2.74109299516908
1994,"Summer",26.6051479468599,4.49305555555556
1994,"Winter",4.78942901234568,3.97746913580247
1995,"Fall",13.8704975579976,4.2730463980464
1995,"Spring",19.3954559178744,3.20712560386473
1995,"Summer",27.4910929951691,4.38843599033816
1995,"Winter",5.40925925925926,3.25385802469136
1996,"Fall",13.6202686202686,4.05448717948718
1996,"Spring",18.2927989130435,4.54710144927536
1996,"Summer",26.2867602657005,7.17270531400966
1996,"Winter",5.17770061728395,3.7837962962963
1997,"Fall",13.9568833943834,3.47588522588523
1997,"Spring",17.2678894927536,2.88934178743961
1997,"Summer",27.2416213768116,4.01917270531401
1997,"Winter",7.51929012345679,2.60663580246914
1998,"Fall",18.1171398046398,1.67429792429792
1998,"Spring",19.4361413043478,4.38632246376812
1998,"Summer",28.2147493961353,2.58740942028985
1998,"Winter",7.05694444444444,5.76558641975309
1999,"Fall",16.7184065934066,3.99023199023199
1999,"Spring",20.4941123188406,2.10129830917874
1999,"Summer",28.2678140096618,3.88843599033816
1999,"Winter",7.05100308641975,3.33935185185185
2000,"Fall",14.6337759462759,2.03067765567766
2000,"Spring",19.6911986714976,2.97720410628019
2000,"Summer",26.1715730676328,5.02460748792271
2000,"Winter",7.52793209876543,1.72083333333333
2001,"Fall",17.8101343101343,1.623778998779
2001,"Spring",18.9692028985507,4.02551328502415
2001,"Summer",26.9834692028986,3.87711352657005
2001,"Winter",7.11651234567901,1.2408950617284
2002,"Fall",13.5361721611722,4.70314407814408
2002,"Spring",20.3080464975845,3.36654589371981
2002,"Summer",28.5314764492754,2.29861111111111
2002,"Winter",8.48456790123457,1.34274691358025
2003,"Fall",14.8785866910867,5.38217338217338
2003,"Spring",17.9993206521739,5.32110507246377
2003,"Summer",26.1353411835749,5.92300724637681
2003,"Winter",4.22854938271605,3.27808641975309
2004,"Fall",15.3536324786325,4.57570207570208
2004,"Spring",19.6773097826087,4.45123792270531
2004,"Summer",26.167270531401,4.23309178743961
2004,"Winter",5.21188271604938,1.8087962962963
2005,"Fall",15.6284340659341,4.13949938949939
2005,"Spring",18.217315821256,3.25
2005,"Summer",27.7398097826087,2.89870169082126
2005,"Winter",5.88256172839506,2.32283950617284
2006,"Fall",15.628663003663,3.89789377289377
2006,"Spring",19.3445803140097,2.7506038647343
2006,"Summer",27.9886020531401,5.6219806763285
2006,"Winter",9.88603395061728,1.89243827160494
2007,"Fall",16.9736721611722,1.87210012210012
2007,"Spring",20.0012832125604,3.17874396135266
2007,"Summer",28.5119263285024,3.1544384057971
2007,"Winter",6.07816358024691,2.72530864197531
2008,"Fall",14.6501831501831,2.52167277167277
2008,"Spring",20.1431914251208,4.15579710144928
2008,"Summer",27.962711352657,4.15821256038647
2008,"Winter",8.01319444444444,2.20432098765432
2009,"Fall",15.7247405372405,4.73168498168498
2009,"Spring",19.613979468599,5.25573671497585
2009,"Summer",27.1555706521739,2.70093599033816
2009,"Winter",6.4045524691358,1.97114197530864
2010,"Fall",16.3734737484737,3.72130647130647
2010,"Spring",22.200634057971,2.96980676328502
2010,"Summer",30.1156400966184,2.33423913043478
2010,"Winter",4.08927469135802,3.26404320987654
2011,"Fall",16.3727869352869,3.93574481074481
2011,"Spring",20.8753774154589,4.76554951690821
2011,"Summer",28.7999698067633,4.53200483091787
2011,"Winter",7.78449074074074,3.17052469135802
2012,"Fall",15.8832417582418,3.06105006105006
2012,"Spring",22.1120923913043,3.31959541062802
2012,"Summer",29.2484148550725,3.6538345410628
2012,"Winter",9.54807098765432,2.39521604938272
2013,"Fall",14.8353174603175,3.55692918192918
2013,"Spring",19.0470259661836,4.17149758454106
2013,"Summer",27.2199577294686,4.38285024154589
2013,"Winter",7.39081790123457,3.95216049382716
